"Callback url after authentication","Lien de retour après l'authentification"
"Callback Url", "Url de rappel"
"Client Key","Clé client"
"Enter your Conversaa URL","Entrez l'url de l'instance conversaa liée"
"Main","Principal"
"Method of tracking", "Méthode de tracking"
"Secret Key","Clé secrète"
"The Conversaa Client Key","La clé client générée par Conversaa"
"The Conversaa Secret Key","La clé secrète générée par Conversaa"
"The url must not end with a slash","L'url entrée ne doit pas finir par un slash"
"URL Conversaa","Instance conversaa liée"
"Url format not valid","Vous devez entrer une url correcte"
